,,,,,,,,,,Group 1 ,,Group 2,,Group 3,,Group 4,,Group 5,
Q#,Theme,Question,Question_ESP,Question Type,Suggested Answers,Suggested Answers_ESP,Methodology Layer,CMI Alignment,Tags/Notes,RAG SYSTEM,Comments,RAG SYSTEM,Comments,RAG SYSTEM,Comments,RAG SYSTEM,Comments,RAG SYSTEM,Comments
16,Civic Engagement & Youth Leadership,Have you ever taken action to make change in your community?,¿Alguna vez has tomado medidas para generar un cambio en tu comunidad?,,Yes / No / Not sure,Sí / No / No estoy seguro,Agency,,Civic action history – Baseline of prior engagement,,,,,,,,,
17,Civic Engagement & Youth Leadership,What issues would you speak up about if given the chance?,¿Sobre qué temas te pronunciarías si tuvieras la oportunidad?,,"Safety, Climate, Jobs, Education, Inequality, Other (please share)","Seguridad, Clima, Empleo, Educación, Desigualdad, Otros (por favor, comparte)",Intent,,Youth-led issues – Helps partners identify shared concerns,,,,,,,,,,
18,Civic Engagement & Youth Leadership,What’s the best way for young people to influence change?,¿Cuál es la mejor manera para que los jóvenes influyan en el cambio?,,"Protest, Policy, Art, Social media, Community work","Protesta, Política, Arte, Redes sociales, Trabajo comunitario",Intent,,Influence methods – Maps what young people believe is effective,,,,,,,,,,
19,Civic Engagement & Youth Leadership,How often do you feel people in power truly listen to people like you?,¿Con qué frecuencia sientes que las personas en el poder realmente escuchan a personas como tú?,,Never → Always,Nunca → Siempre,Agency,,Power listening perception – Insight into trust in institutions,,,,,,,,,,
20,Civic Engagement & Youth Leadership,"If a local leader wanted to hear from youth, what should they do?","Si un líder local quisiera escuchar a los jóvenes, ¿qué debería hacer?",,"Youth panels, Social media, Schools or Universities, Digital surveys","Paneles juveniles, redes sociales, escuelas o universidades, encuestas digitales",Intent - Agency (hybrid),,Advice to power – Reveals what engagement channels youth would trust and prefer — reveals intent to be heard and strategic comfort with civic mechanisms.,,,,,,,,,,
21,Civic Engagement & Youth Leadership,What kind of leader do you think the world needs more of?,¿Qué tipo de líder crees que el mundo necesita?,,"Listener, Problem-solver, Risk-taker, Someone like me","Alguien que sabe escuchar, que resuelve problemas, que se arriesga, alguien como yo.",Intent,,Leadership archetypes – Reflects admired changemaker traits,,,,,,,,,,
22,Civic Engagement & Youth Leadership,"If you had to organise something that mattered to you, how confident would you feel?","Si tuvieras que organizar algo que te importara, ¿cuánta confianza sentirías?",,Not confident → Very confident,No estoy seguro → Estoy muy seguro,Agency,,Action confidence – Gauges sense of readiness,,,,,,,,,,
23,Civic Engagement & Youth Leadership,"In a space where youth voices are heard, how do you want to feel?","En un espacio donde se escuchan las voces de los jóvenes, ¿cómo te gustaría sentirte?",,"Safe, Respected, Brave, Inspired, Calm","Seguro, respetado, valiente, inspirado, tranquilo",Awareness,,Safe participation space – Guides youth participation design as may surface psychological safety expectations,,,,,,,,,,
24,Civic Engagement & Youth Leadership,Taking part in community projects or speaking up helps me…,Participar en proyectos comunitarios o alzar la voz me ayuda…,Matrix,"I feel more confident, I learn about myself, I connect with others, I feel powerful","Me siento más segura, aprendo sobre mí misma, conecto con los demás, me siento poderosa.",Agency,,Impact of participation – Encourages self-awareness of growth,,,,,,,,,
25,Civic Engagement & Youth Leadership,What kind of leader are you today?,¿Qué tipo de líder eres hoy?,,Listener / Doer / Firestarter / Planner / Not sure yet,Oyente / Hacedor / Incendiario / Planificador / Aún no estoy seguro,Intent,Self-Leadership,Self-view of leadership – Surfaces identity alignment with changemaking,,,,,,,,,
26,Civic Engagement & Youth Leadership,"In a group, I usually…","En un grupo, normalmente…",,Take charge / Support others / Come up with ideas / Keep it going,Toma las riendas / Apoya a los demás / Propón ideas / Sigue adelante,Intent,Role Clarity,Role comfort in groups - shows how player see's themselves behaving– Indicates collaboration preferences. ,,,,,,,,,
27,Civic Engagement & Youth Leadership,Have you ever led something you cared about?,¿Alguna vez has liderado algo que te importaba?,,Yes / Not yet but want to / No,"Sí / Todavía no, pero quiero / No",Agency,Practice Experience,Leadership experience – Tracks practice opportunity,,,,,,,,,
28,Civic Engagement & Youth Leadership,"If something’s not working in your community, what do you usually do?","Si algo no funciona en tu comunidad, ¿qué sueles hacer?",,Tell someone / Try a new idea / Wait / Research / Not sure,Díselo a alguien / Prueba una nueva idea / Espera / Investiga / No estoy seguro,Agency,Initiative,Personal initiative in real-world settings,,,,,,,,,,
