Question ID,Theme,Competency,Question,Suggested Options,Outcome,Notes,,,,,,,,,,,,,,,,
Q1,Mental Health,Awareness,How does taking part in sport affect how you feel day to day?,It improves my mental wellbeing | It helps a little | It makes no difference | It sometimes makes things worse | I’m not sure,Perceived impact of sport on mental wellbeing,,,,,,,,,,,,,,,,,
Q2,Hope,Awareness,"Thinking about your future, how hopeful do you feel right now?",Very hopeful | Quite hopeful | Unsure | Not very hopeful | Not hopeful at all,Baseline hope levels,,,,,,,,,,,,,,,,,
Q3,Hope + Sport,Awareness,Does sport influence how hopeful you feel about your life?,"Yes, a lot | A little | Very little | Not at all | I don’t take part in sport",Perceived link between sport and hope which can be correlated with other answers,,,,,,,,,,,,,,,,,
Q4,Social Cohesion,Awareness,"When you take part in sport, how connected do you feel to others?",Very connected | Quite connected | Neutral | Not very connected | Not connected at all,Social cohesion and belonging,,,,,,,,,,,,,,,,,
Q5,Inclusion,Awareness,"In your experience, how inclusive are the sports environments around you?",Very inclusive | Mostly inclusive | Mixed | Not very inclusive | Not inclusive at all,Perceived inclusivity,,,,,,,,,,,,,,,,,
Q6,Confidence,Awareness,How does sport influence your confidence in yourself?,It increases my confidence a lot | It helps a little | No real impact | It lowers my confidence | Not sure,Confidence as outcome of sport,,,,,,,,,,,,,,,,,
Q7,Physical Activity,Awareness,"In a typical week, how physically active are you?",I’m not active at the moment | Less than 30 minutes a week | About 30–60 minutes a week | About 1–2 hours a week | 2+ hours a week,Level of physical activity for baseline segmentation,,,,,,,,,,,,,,,,,
Q8,World Cup Impact,Awareness,How do major sporting events like the World Cup affect how you feel?,They make me feel more positive and hopeful | They bring moments of joy and excitement | They help people feel more connected | They don’t make much difference | They sometimes create pressure or negativity | I’m not sure,Emotional and social impact of major sporting events,,,,,,,,,,,,,,,,,
Q9,World Cup + Hope,Awareness,Do events like the World Cup make you feel more connected to your local community?,"Yes, a lot | A little | Not sure | Not really | Not at all",Link between global events and community cohesion,,,,,,,,,,,,,,,,,
Q10,World Cup + Cohesion,Awareness,Do major sporting events like the World Cup bring people together in your community?,"Yes, definitely | A little | Not sure | Not really | No",Perceived social cohesion from global sport,,,,,,,,,,,,,,,,,
Q11,Sport Outcomes,Awareness,Playing sport or being active helps me…,Feel more confident in myself | Feel like I belong | Connect with people different from me | Stay calm when things get hard | Care more about the planet | Understand how nature connects to my life | Believe I can make a difference | Feel hopeful about the future | Deal with challenges in life,Multi-dimensional outcomes of sport,,,,,,,,,,,,,,,,,
Q12,Skills Development,Awareness,Which of these skills are you developing through sport?,Teamwork | Confidence | Speaking up | Handling stress | Leadership | Problem-solving | Focus | Social connections | Not sure,Skills gained through sport,,,,,,,,,,,,,,,,,
Q13,Team Environment,Awareness,How would you describe the team or group you play sport with?,Very supportive | Mostly supportive | Mixed | Not very supportive | Not supportive at all,Quality of team environment,,,,,,,,,,,,,,,,,
Q14,Access,Awareness,How easy is it for you to access sport where you live?,Very easy | Quite easy | Difficult | Very difficult | No access,Access to sport,,,,,,,,,,,,,,,,,
"Logic if you select Diff, v diff or no access",Time & Practical Barriers,Awareness,What makes it difficult for you to take part in sport regularly?,Lack of time | School or work pressure | Cost | Lack of access | Not interested | Other,"Builds on UN findings around access and inequality by adding lived constraints such as time, pressure and competing priorities",,,,,,,,,,,,,,,,,
Q15,Community Support,Awareness,How supported do you feel by your community when taking part in sport?,Very supported | Quite supported | Neutral | Not very supported | Not supported at all,Community support,,,,,,,,,,,,,,,,,
Q16,Programmes,Awareness,Are there programmes or initiatives in your community that support young people through sport?,"Yes, many | Some | Not sure | Very few | None",Presence of structured interventions,,,,,,,,,,,,,,,,,
Q17,Negative Experiences,Awareness,Have you ever had a negative experience in sport that affected your wellbeing?,"Yes, often | Yes, sometimes | Rarely | Never | Not sure",Builds on UN focus on safe sport and wellbeing by explicitly capturing downside experiences often underrepresented in reporting,,,,,,,,,,,,,,,,,
Q18,Coaches & Leadership,Awareness,"How much do coaches, teachers or leaders influence your experience of sport?",A lot | Sometimes | Very little | Not at all | Not sure,"Builds on UN emphasis on role of trusted adults and safe environments, enabling correlation with wellbeing, confidence and belonging",Trusted Adult Tap Card Combo,,,,,,,,,,,,,,,,
Q19,Trusted Adults,Awareness,Do you feel there is an adult in sport or physical activity who supports and believes in you? ,"Yes, definitely | A little | Not sure | Not really | Not at all","Builds on evidence linking trusted adult relationships to resilience, confidence and wellbein",Trusted Adult Tap Card Combo,,,,,,,,,,,,,,,,
