Column 1,Theme,Question,Spanish_questions_translation,Suggested Answers,Spanish_answer types_translation,eng_Info box,esp_Info box,Answer type ,Methodology Layer,Tags/Notes_es,Tag/notes_en,Used in other PV games
,,"Welcome to Play Verto
This is your space to say what you see, feel, and hope for in the region of Valparaiso.
Your voice will help shape real decisions, projects, and opportunities in your community.
This experience is supported by a network of over 30 organisations working together to amplify youth voice across Valparaíso.
It only takes 3 minutes. It’s anonymous. And it matters.
Tap to begin. ","Bienvenido a Play Verto

Este es tu espacio para decir lo que ves, sientes y esperas de la Región de Valparaiso. 

Tu voz ayudará a dar forma a decisiones, proyectos y oportunidades reales en tu comunidad.
Esta experiencia cuenta con el apoyo de una red de más de 30 organizaciones que trabajan juntas para amplificar la voz de los jóvenes en todo Valparaíso.

Solo te llevará 3 minutos. Es anónimo. Y es importante.
Toca para comenzar. Reimaginemos la región de Valparaiso juntos.",,,,,,,"Es importante mencionar que estamos trabajando para los jovenes de la Región de Valparaiso, porque sino se entiende que solo estamos trabajando con los jovenes de la comuna de la Valparaiso","It is important to mention that we are working for the young people of the Valparaiso Region, because otherwise it is understood that we are only working with the young people of the Valparaiso commune.",
,,How are you feeling today?,¿Cómo te sientes hoy?,"Sad
Tired
Bored
Happy
Excited","Triste
Consado
Aburrido
Feliz
Entusiasmado",,,,,,,
,Mental Health & Wellbeing,When you feel sad or stressed — who or what do you usually turn to?,"Cuando te sientes triste o estresado, ¿qué haces normalmente?","
Go out in nature
Do sports
Be alone
Talk to someone I trust
Pass time online
Consume Alcohol or drugs
Don’t know
No one/nothing to turn to
Other","
Salir a la naturaleza
Hacer deporte
Estar solo/a
Hablar con alguien de confianza
Redes sociales / ver cosas online - Pasar tiempo online
Consumir alcohol o drogas
No sé
No tengo a quien o que recurrir
Otro",,,Select top 3 ,Awareness,Support pathways – Reveals where youth turn in moments of stress /las alternativas estan bien solo modifique como esta redactada la pregunta,"Support pathways – Reveals where youth turn in moments of stress /The alternatives are fine, just modify how the question is worded",
,Digital Inclusion & Innovation,"How do you feel about AI being part of your life (school, work, etc.)?","¿Qué piensas de que la IA esté en tu vida (estudios, pega, etc.)?","Very excited
Feels good / positive
Mixed or unsure
A bit worried
Very worried



Explanation of what AI is: Artificial intelligence is a technology that allows machines to learn from data and perform tasks that normally require human intelligence, such as recognising images, answering questions, or making decisions","Muy emocionado
Con ganas / positivo
Mixto o inseguro/a
Me preocupa un poco
Muy preocupado/a



Explicación de que es la IA: La inteligencia artificial es una tecnología que permite a las máquinas aprender de datos y realizar tareas que normalmente requieren inteligencia humana, como reconocer imágenes, responder preguntas o tomar decisiones.",,,Range,Intent,AI perceptions – Gauges hope/fear balance for future tech. This is anticipatory attitude — useful as Intent if treated as emotional orientation toward future tools,,
,Civic Engagement & Youth Leadership,"How do these ways of taking action feel for you - in your neighbourhood?
Volunteer
Project or campaign 
Share ideas to improve what’s not working
Join a protest/march/online action
Help someone nearby
Support a group/movement
Vote in elections 
","“¿Qué piensas de estas formas de participar en tu barrio?”
Ser voluntario/a
Proyecto o campaña 
Compartir ideas para mejorar lo que anda mal
Unirme a una protesta/marcha/acción online
Ayudar a alguien cerca
Apoyar un grupo/movimiento
Votar en las elecciones

","for each choice a player selects:
Already do  
Ready to try 
Maybe 
I don’t know 
Not for me 

","Para cada opción que un jugador selecciona:
Ya lo hago
Quiero probar
Quizás me animo
No lo sé
No es para mí

",,,Matrix,Intent - Agency (hybrid),"Civic action history – Baseline of prior engagement and methods thye believe are effective/ Yo dejaría la pregunta: ¿que tipo actividad te gustaría realizar en el barrio donde vives?  Estan bien las alternativas, pero agregaría algo donde ellos pudieran decir alguna actividad o acción que les gustaría realizar pero que no esta dentro de las alternativas.","Civic action history – Baseline of prior engagement and methods they believe are effective/ I would leave the question: What kind of activity would you like to do in the neighborhood where you live? The alternatives are good, but I would add something where they could say an activity or action that they would like to do but that is not among the alternatives.",
,Economic Opportunity & Green Entrepreneurship,"Apart from making money, what matters most to you in a job?","Aparte de ganar plata,  ¿qué es lo que más te importa en el tipo de trabajo que te gustaría realizar? ","Helping others
Protecting nature
Solving problems
Teaching / guiding
Building community
Being creative
Innovating with tech
Defending justice
Still figuring it out","
Ayudar a otros
Cuidar la naturaleza
Resolver problemas
Enseñar o ser mentor/a
Crear comunidad
Ser creativo/a
Innovar con tecnología
Defender la justicia
Todavía lo estoy pensando",,,Select one,Intent,"Purpose in work – Reveals values-career alignment/No se entiende el foco de la pregunta en relación a las alternativas planteadas, ¿Cúal es el objetivo de la pregunta? ¿Conocer las caracteristicas que los jovenes piensan que es un trabajo ideal? o ¿ que tematicas son mas interesantes en lo que ellos quisieran trabajar. Sabiendo eso puedo arreglar la pregunta o las alternativas","Purpose in work – Reveals values-career alignment/The focus of the question in relation to the proposed alternatives is unclear. What is the objective of the question? Is it to understand the characteristics that young people consider an ideal job? Or what topics are most interesting for them to work on? Knowing this, I can refine the question or the alternatives.",
,Economic Opportunity & Green Entrepreneurship,"On a scale of 1 - 10, How confident are you that you’ll find (or create) work that feels right for you?","En una escala del 1 al 10, ¿Qué tan seguro/a estás de que vas a encontrar (o crear) un trabajo que sea adecuado para ti?","(1 = Not confident at all, 10 = Extremely confident)","(1 = Nada seguro, 10 = Extremadamente Muy seguro)",,,NPS,Agency,"Confidence in alignment – Measures alignment hope vs. reality/También me genera duda esta pregunta por dos cosas la primera tiene que ver con la alta tasa de desempleo Juvenil, entonces el ya mencionar la frase que tan seguro estas de encontrar trabajo suena mas a una amenaza que una pregunta. y lo segundo el decir la frase "" encontrar un trabajo que sea para ti"" entiendo a lo que van pero creo que conceptualmente no es correcta pensando en la temática trabajo.","Confidence in alignment – ​​Measures alignment hope vs. reality/This question also raises doubts for me for two reasons. The first is related to the high rate of youth unemployment, so mentioning the phrase ""how sure are you about finding a job?"" sounds more like a threat than a question. Secondly, saying ""find a job that's right for you"" is understandable, but I think it's conceptually incorrect when considering the topic of work.",
,Economic Opportunity & Green Entrepreneurship,"
How interested are you in training or a career helping climate change and the environment?*",¿Qué tan interesado/a estás en una capacitación o carrera que ayude frente al cambio climático y el medioambiente?,"

 1. Not at all
 2. A little Interested
 3. I don't know
 4. Somewhat Interested
 5. Very Interested","1. Cero interés
2. Un poco interesado/a
3. No sé
4. Algo interesado/a
5. Super interesado/a",,,Rating,Awareness - Intent (hybrid),"Green job viability – Perceived opportunity environment/ Con respecto a esta pregunta en vez de trabajo pondría iniciativas o acciones, yo dejaría la pregunta asi : ¿ Existen iniciativas o acciones en tu barrio o en tu comuna que cuiden el medioambiente?","Green job viability – Perceived opportunity environment/ Regarding this question, instead of ""job"" I would put ""initiatives or actions."" I would leave the question like this: Are there initiatives or actions in your neighborhood or community that take care of the environment?",
,Climate Action & Sustainability,"What do you currently do (or try to do) to help the environment?
(Yes, Sometimes, no)
","¿Qué haces (o intentas hacer) para cuidar el medioambiente?
(Sí, A veces, No)
","Recycle or reuse
Walk, bike, or use public transport
Save water or energy at home
Cut down on plastic
Speak up or post about climate issues
Encourage others to take action
Choose eco-friendly products or brands
Vote with climate in mind","Reciclo o reutilizo
Camino, uso la bicicleta o el transporte público / Camino, ando en bici o tomo metro
Ahorro agua o energía en casa / Ahorro agua o luz en la casa
Reduzco mi uso del plástico / Uso menos plástico
Hablo o publico sobre los problemas climáticos / Hablo o posteo sobre el clima
Animo a otros a actuar / Animo a otros a sumarse
Elijo productos o marcas ecológicos / Compro más ecológico
Voto pensando en el clima",,,Tap (yes/no),Agency,"Eco-action habits – Surfaces everyday behaviours that reflect environmental agency and intent to act, even at small scales.",,
,Climate Action & Sustainability,Why do you think people don’t do more for the planet?,¿Por qué crees que la gente no hace más por el planeta?,"Money
Time
Lack of info
No support
Doubt it helps
Low motivation
I don't know
Other (please type)","Plata
Tiempo
Falta de info
No hay apoyo
No creen que sirva
Poco interés)
No se
Otro (escriba, por favor)",,,Select one (GRID),Awareness,Barriers to action – Systemic inhibitors for action,,
