Question ID,Theme,Competency,Question,Suggested Options,Outcome,"Please use the RAG system below to review the questions:
        •        Red = Remove
        •        Orange = Reword
        •        Green = Keep as is",Notes,,,,,,,,,,,,,,,,
Q1,Mental Health,Awareness,How does taking part in sport affect how you feel day to day?,It improves my mental wellbeing | It helps sometimes | It makes no difference | It sometimes makes things worse | I’m not sure,Perceived impact of sport on mental wellbeing,Keep,,,,,,,,,,,,,,,,,
Q2,Hope,Awareness,"Thinking about your future, how hopeful do you feel right now?",Very hopeful | Somewhat hopeful | Unsure | Not very hopeful | Not hopeful at all,Baseline hope levels,Keep,,,,,,,,,,,,,,,,,
Q3,Hope + Sport,Awareness,To what extent does sport influence how hopeful you feel about your future?,A lot | Somewhat | Very little | Not at all | I don’t take part in sport,Perceived link between sport and hope which can be correlated with other answers,Reword,,,,,,,,,,,,,,,,,
Q4,Social Cohesion,Awareness,"When you take part in sport, how connected do you feel to others?",Very connected | Somewhat connected | Neutral | Not very connected | Not connected at all,Social cohesion and belonging,Keep,,,,,,,,,,,,,,,,,
Q5,Inclusion,Awareness,"In your experience, how inclusive are the sports environments around you?",Very inclusive | Mostly inclusive | Mixed | Not very inclusive | Not inclusive at all,Perceived inclusivity,Keep,,,,,,,,,,,,,,,,,
Q6,Confidence,Awareness,How does sport influence your confidence in yourself?,It increases my confidence a lot | It helps somewhat | No real impact | It lowers my confidence | Not sure,Confidence as outcome of sport,Keep,,,,,,,,,,,,,,,,,
Q7,Physical Activity,Awareness,"In a typical week, how physically active are you?",I’m not active at the moment | Less than 30 minutes a week | About 30–60 minutes a week | About 1–2 hours a week | 2+ hours a week,Level of physical activity for baseline segmentation,Keep,,,,,,,,,,,,,,,,,
Q8,World Cup Impact,Awareness,How do major sporting events like the World Cup affect how you feel?,They make me feel more positive and hopeful | They bring moments of joy and excitement | They help people feel more connected | They don’t make much difference | They sometimes create pressure or negativity | I’m not sure,Emotional and social impact of major sporting events,Keep,,,,,,,,,,,,,,,,,
Q9,World Cup + Hope,Awareness,Do events like the World Cup make you feel more hopeful about your future or your community?,"Yes, a lot | Yes, somewhat | Not sure | Not really | Not at all",Link between global events and hope,Reword,,,,,,,,,,,,,,,,,
Q10,World Cup + Cohesion,Awareness,Do major sporting events like the World Cup bring people together in your community?,"Yes, definitely | Yes, somewhat | Not sure | Not really | No",Perceived social cohesion from global sport,Keep,,,,,,,,,,,,,,,,,
Q11,Sport Outcomes,Awareness,Playing sport or being active helps me…,Feel more confident in myself | Feel like I belong | Connect with people different from me | Stay calm when things get hard | Care more about the planet | Understand how nature connects to my life | Believe I can make a difference | Feel hopeful about the future,Multi-dimensional outcomes of sport,Reword,,,,,,,,,,,,,,,,,
Q12,Skills Development,Awareness,Which of these skills are you developing through sport?,Teamwork | Confidence | Speaking up | Handling stress | Leadership | Problem-solving | Focus | Not sure,Skills gained through sport,Reword,,,,,,,,,,,,,,,,,
Q13,Safety Barriers,Awareness,Have you ever avoided physical activity because of any of these concerns?,Getting there or home felt unsafe | The place didn’t feel safe | Not enough staff or support | Worried about other people | Afraid of being judged | A bad past experience | Something else,Barriers to participation - provides equity insights,Remove,,,,,,,,,,,,,,,,,
Q14,Safe Environments,Awareness,What makes a space feel safer for you? (Select up to 2),Good lighting | Friendly staff or coaches | Easy to get to | Clear information and signs | Clean and well-looked-after spaces | Knowing I can ask for help,Drivers of safe participation,Remove,,,,,,,,,,,,,,,,,
Q15,Team Environment,Awareness,How would you describe the team or group you play sport with?,Very supportive | Mostly supportive | Mixed | Not very supportive | Not supportive at all,Quality of team environment,Keep,,,,,,,,,,,,,,,,,
