Q#,Theme,Question,Question_ESP,Question Type,Suggested Answers,Suggested Answers_ESP,Methodology Layer,CMI Alignment,Tags/Notes,,"RAG SYSTEM
","Comments
Please let us know if you have any comments on this question."
1,Mental Health & Wellbeing,"When you're feeling low or overwhelmed, who or what do you turn to?","Cuando te sientes decaído o abrumado, ¿a quién o a qué recurres?",,"Friends or Family
Music or art
Nature or being outside
Social media or online content
I don’t know
Other (please type)","Amigos o familia
Música o arte
Naturaleza o actividades al aire libre
Redes sociales o contenido en línea
No lo sé
Otro (por favor, escriba)",Awareness,,Support pathways – Reveals where youth turn in moments of stress,,
2,Mental Health & Wellbeing,How openly do people talk about mental health in your community?,¿Con qué franqueza se habla de salud mental en tu comunidad?,,"Not at all
Rarely
Sometimes
Often
Very openly","En absoluto
Rara vez
A veces
A menudo
Muy abiertamente",Awareness,,Community openness – Gauges stigma levels and cultural dialogue,,,
3,Mental Health & Wellbeing,Imagine a space where young people feel mentally safe — what’s in it?,Imagina un espacio donde los jóvenes se sientan mentalmente seguros: ¿qué características tendría?,,"Art or creativity
Movement or physical activity
Quiet or calm
Trusted support (e.g. adults, peers)
Nature or outdoor space
Music or sound
Other (please type)","Arte o creatividad
Movimiento o actividad física
Tranquilidad o calma
Apoyo de confianza (p. ej., adultos, compañeros)
Naturaleza o espacio al aire libre
Música o sonido
Otro (especifique)",Awareness - Intent (hybrid),,"Ideal mental health spaces – Inspires partner-led design ideas. While this is forward-looking, it’s largely imaginative awareness — how young people mentally construct safety",,,
4,Mental Health & Wellbeing,How confident are you in helping a friend who’s struggling mentally?,¿Qué tan seguro te sientes al ayudar a un amigo que está pasando por dificultades mentales?,,"Not at all 
A little 
Somewhat 
Quite 
Very ","Para nada
Un poco
Algo
Bastante
Mucho",Agency,,Peer-based support confidence – Indicates readiness for peer programs,,,
5,Mental Health & Wellbeing,"If someone your age talks about mental health struggles, how do people usually respond?","Si alguien de tu edad habla de sus problemas de salud mental, ¿cómo suele reaccionar la gente?",,"They get judged or made fun of
People avoid or change the subject
Some listen, some don’t
Most people are kind, but unsure how to help
They feel supported and understood","Son juzgados o ridiculizados.
La gente evita el tema o cambia de conversación.
Algunos escuchan, otros no.
La mayoría es amable, pero no sabe cómo ayudar.
Se sienten apoyados y comprendidos.",Awareness,,Perceived responses – Reflects stigma and normalisation barriers,,,
6,Mental Health & Wellbeing,"When someone disagrees with you, how do you usually respond?","Cuando alguien no está de acuerdo contigo, ¿cómo sueles responder?",,Avoid it / Listen / Debate / Learn from it,Evítalo / Escucha / Debate / Aprende de ello,Awareness,Empathy – Conflict Openness,Disagreement navigation – Surfaces empathy and social resilience ,,,
7,Mental Health & Wellbeing,What matters more: helping others or achieving your own goals?,¿Qué es más importante: ayudar a los demás o alcanzar tus propias metas?,,Strongly personal → Strongly social,Fuertemente personal → Fuertemente social,Intent,Empathy – Purpose Alignment,Purpose vs. self-interest – Uncovers values motivation (and awareness),,,
8,Mental Health & Wellbeing,I learn the most from people who…,Aprendo más de las personas que…,,"Share my views
Are different from me
Challenge how I think
Understand what I’m going through","Comparte mis puntos de vista
Son diferentes a los míos
Cuestiona mi forma de pensar
Comprende por lo que estoy pasando",Intent,Empathy – Perspective Taking,Learning sources – Reflects cognitive flexibility and inclusion mindset. Helps us understand/ surfice personal drivers (intent),,,
9,Digital Inclusion & Innovation,What best describes your internet and device access?,¿Qué describe mejor tu acceso a internet y a tus dispositivos?,,"I don’t have any access
I share a device or connection with others
I have my own device but limited internet
I have internet sometimes but it’s not reliable
I have my own device and reliable internet","No tengo acceso
Comparto un dispositivo o conexión con otros
Tengo mi propio dispositivo, pero internet limitado
A veces tengo internet, pero no es fiable
Tengo mi propio dispositivo e internet fiable",Awareness,,Baseline access – Assesses digital equity and reach,,,
10,Digital Inclusion & Innovation,How often do you use digital tools to express yourself creatively?,¿Con qué frecuencia utilizas herramientas digitales para expresarte de forma creativa?,,Never → Daily,Nunca → Diario,Agency,,Creative expression – Tracks tech as identity/voice amplifier,,,
11,Digital Inclusion & Innovation,How confident are you using digital tools to solve problems or express ideas?,¿Qué tan seguro te sientes al usar herramientas digitales para resolver problemas o expresar ideas?,,Not confident → Very confident,No estoy seguro → Estoy muy seguro,Agency,,Confidence in using tech – Sheds light on digital agency,,,
12,Digital Inclusion & Innovation,Have you or someone you know experienced online scams or fraud?,¿Usted o alguien que conoce ha sido víctima de estafas o fraudes en línea?,,Yes / No / Not sure / I feel well equiped to avoid them,Sí / No / No estoy seguro / Me siento bien preparado para evitarlos,Awareness,,Digital safety experience – Flags vulnerability to online threats,,,
13,Digital Inclusion & Innovation,How do you feel about the future of AI in your life and work?,¿Qué opinas del futuro de la IA en tu vida y en tu trabajo?,,Curious / Worried / Excited / Don’t care,Curioso/a / Preocupado/a / Emocionado/a / Me da igual,Intent,,AI perceptions – Gauges hope/fear balance for future tech. This is anticipatory attitude — useful as Intent if treated as emotional orientation toward future tools,,,
14,Digital Inclusion & Innovation,Have you used AI tools (like ChatGPT)?,¿Has utilizado herramientas de IA (como ChatGPT)?,,For fun / For school / For work / Other (please share),"Para divertirse / Para la escuela / Para el trabajo / Otro (por favor, indique)",Awareness,,AI familiarity – Measures exposure and barriers,,,
15,Digital Inclusion & Innovation,"If you had access to an AI tool, what would you use it for?","Si tuvieras acceso a una herramienta de IA, ¿para qué la usarías?",,Study / Build confidence / Mental health / Create ideas,Estudiar / Desarrollar la confianza / Salud mental / Generar ideas,Agency,,AI for good use cases – Reveals aspirational drivers of AI use,,,
