Logo,Please add AAF logo,,,,,
,,,,,,
Es_Question,En_Question,ES_Focus of comment,Eng_Focus of comment,ES_comment,Eng_comment,PV_Comment,,,,,,,,,,,,,,,,,
"Cuando te sientes triste o estresado, ¿a quién o a qué recurres normalmente?","When you feel sad or stressed, who or what do you usually turn to?",Relajarme con alcohol o drogas,Relax with alcohol or drugs,"En vez de la palabra ""relajarme"" quizás poder reemplazar por ""Consumir""","Instead of the word ""relax"" perhaps we could replace it with ""Consume""","YES, to update sheet Elena Prieto Sulleiro",,,,,,,,,,,,,,,,,
"Cuando te sientes triste o estresado, ¿a quién o a qué recurres normalmente?","When you feel sad or stressed, who or what do you usually turn to?",Hablar con alguien de confianza,Talk to someone you trust,Aqui podria ponerse la alternativa de juntarme con mis amigos,Here I could put the alternative of getting together with my friends,We feel this would loost the meaning Michael Sani if we change this.,,,,,,,,,,,,,,,,,
"¿Qué opinas acerca de que la IA sea parte de tu vida, en la educación, el trabajo y todo lo demás?","What do you think about AI being a part of your life, in education, work, and everything else?","¿Qué opinas acerca de que la IA sea parte de tu vida, en la educación, el trabajo y todo lo demás?","What do you think about AI being a part of your life, in education, work, and everything else?","En la opción 4 dice ""sobretod emocionado"" supongo que dice ""emocionado""","Option 4 says ""overall excited,"" I suppose it means ""excited.""","YES, to update sheet Elena Prieto Sulleiro",,,,,,,,,,,,,,,,,
"¿Qué opinas acerca de que la IA sea parte de tu vida, en la educación, el trabajo y todo lo demás?","What do you think about AI being a part of your life, in education, work, and everything else?","¿Qué opinas acerca de que la IA sea parte de tu vida, en la educación, el trabajo y todo lo demás?","What do you think about AI being a part of your life, in education, work, and everything else?","QUizas seria bueno especificar qué es IA, porque no creo que todos los jovenes sepan","Perhaps it would be good to specify what AI is, because I don't think all young people know.","We could add an (i) on this questions, but how do we define in a child friendly way? Elena Prieto Sulleiro",,,,,,,,,,,,,,,,,
¿Cuál de estas maneras de actuar te parece la más adecuada?,Which of these courses of action do you think is the most appropriate?,¿Cuál de estas maneras de actuar te parece la más adecuada?,Which of these courses of action do you think is the most appropriate?,"Is the young kids image in relation to the answer, this is demographic is off","Is the young kids image in relation to the answer, this is demographic is off",Jamie Rae to review,,,,,,,,,,,,,,,,,
¿Cuál de estas maneras de actuar te parece la más adecuada?,Which of these courses of action do you think is the most appropriate?,¿Cuál de estas maneras de actuar te parece la más adecuada?,Which of these courses of action do you think is the most appropriate?,Esta rara esa pregunta no se entiende el fin de la pregunta,That's a strange question; the point of the question is unclear.,Elena Prieto Sulleiro to review phrasing,,,,,,,,,,,,,,,,,
¿Cuál de estas maneras de actuar te parece la más adecuada?,Which of these courses of action do you think is the most appropriate?,¿Cuál de estas maneras de actuar te parece la más adecuada?,Which of these courses of action do you think is the most appropriate?,"Compartir ideas para solucionar lo que esta funcionando : no se entiende esa frase, qué es lo que queremos decir? por ejemplo: Compartir ideas para solucionar lo que NO esta funcionando, o compartir ideas para solucionar algunos problemas que estamos viviendo","Sharing ideas to fix what isn't working: This phrase is unclear. What do we mean? For example: Sharing ideas to fix what ISN'T working, or sharing ideas to solve some problems we're experiencing.",Elena Prieto Sulleiro  to review translations ,,,,,,,,,,,,,,,,,
¿Cuál de estas maneras de actuar te parece la más adecuada?,Which of these courses of action do you think is the most appropriate?,Which of these courses of action do you think is the most appropriate?,Which of these courses of action do you think is the most appropriate?,"Cuando uno hace un comentario dice ""ahorrar"" que no es lo mismos que guardar o salvar la información","When someone makes a comment, they say ""save,"" which is not the same as saving or reserving information.",We don't understand this comment regarding save? This might of been left on the wrong questions,,,,,,,,,,,,,,,,,
¿Cuál de estas maneras de actuar te parece la más adecuada?,Which of these courses of action do you think is the most appropriate?,Which of these courses of action do you think is the most appropriate?,Which of these courses of action do you think is the most appropriate?,"Creo que la pregunta esta mal planteada, es dificil entender que se quiere que responda especificamente
","I think the question is poorly worded; it's difficult to understand what specific answer they're asking.

",Elena Prieto Sulleiro to review phrasing,,,,,,,,,,,,,,,,,
"Aparte de la seguridad financiera, ¿qué es lo que más te importa en el tipo de trabajo que te gustaría realizar?","Aside from financial security, what matters most to you in the type of work you would like to do?","Aparte de la seguridad financiera, ¿qué es lo que más te importa en el tipo de trabajo que te gustaría realizar?","Aside from financial security, what matters most to you in the type of work you would like to do?","quizas podria ser un lenguaje juvenil : además de ""ganar plata"" en un trabajo....","Perhaps it could be youth slang: besides ""making money"" at a job....",Elena Prieto Sulleiro  to review translations ,,,,,,,,,,,,,,,,,
