pe,Question,Answer Options,Hypothesis Alignment,Insight Clarity,Indicators & Value,Comment
,"
Title: You are nature 🌍💚

Body:

We know you care about the planet, and guess what? You’re a part of it.

This short journey is about your connection with nature, how it makes you feel, and how you show up for it.

By joining in, you’re helping us build something new — a way to show just how much a young person's connection to nature matters.

Ready? Let’s explore 🌱✨",,,,,
Nature Relationship,Do you feel connected to nature or natural places?,"        •       🌿🌿🌿🌿🌿 = Very connected (Got to row 4)
        •       🌿🌿🌿🌿 = Connected  (Got to row 4)
        •       🌿🌿🌿 = Somewhate connected  (Got to row 4)
        •       🌿🌿 = A little connected  (Got to row 4)
        •       🌿 = Not connected (Got to row 6)",Directly supports the hypothesis around 'stronger connection to nature'. Relevant to the objective of measuring internal shifts.,Measures perceived connection to nature — a key emotional/psychological indicator of environmental affinity.,"Useful for program-level reporting, storytelling about transformation, and policy arguments about the benefits of nature connection.","These two questions explore different aspects of nature connection: one focuses on a deeper emotional or spiritual bond with natural places, while the other emphasizes a sensory, embodied experience of being in nature. Keeping both captures complementary dimensions—identity-based vs. experiential—which support different insights for program design, storytelling, and evaluation."
Nature Interaction,“Where do you usually feel connected to nature?”,"        •        In parks, beaches, or green spaces
        •        In the countryside, by rivers, or in wild areas
        •        Hiking, camping, or outdoor adventures
        •        In gardens or farms
        •        At school (playing or doing nature activities)
        •        Outside where I live or study (yard, street, school grounds)
        •        Playing sports outdoors
        •        Walking or commuting through nature
        •        Watching nature shows or reading about nature
        •        Other (tell us!): ____________","Supports understanding of the context for nature connection, which may shape program design or site-based interventions.","Identifies types of environments that foster connection — urban green spaces, coastal areas, etc.","Location clustering insights, thematic preferences; informs Fellows’ design strategies and storytelling of diverse nature experiences.",
Nature Interaction,How often do you do things in nature that you enjoy?,"        •        Never – I don’t spend time in nature
        •        Rarely – A few times a year
        •        Sometimes – About once a month
        •        Often – A few times a month
        •        Very often – Every week or more",Supports nature connection via behavior tracking. Relevant to measuring sustained engagement with natural settings.,"Reveals time spent in nature, which may correlate with wellbeing and connection. Tracks behavior rather than sentiment.",Distribution of responses by category; trend shifts over time or by program. Valuable for monitoring actual behavior change.,
Nature Interaction, Do you wish you could spend more time in nature?,"        •        Yes (Go to row 7)
        •        No (Go to row 8)",,,,
Nature Relationship,"Spending time in nature helps me...

Answer choices for each statement:
Never
Rarely
Sometimes
Often
Always
Unsure","        •        feel more confident in myself
        •        connect with people who are different to me
        •        feel like I belong
        •        care more about the planet
        •        understand how nature connects to my life
        •        stay calm when things get hard
        •        believe I can make a difference
        •        feel hopeful for the future of the planet",,,,
Nature Interaction,What stops you from spending MORE time in nature?,"        •        The weather
        •        Too many cars or traffic
        •        It doesn’t feel safe
        •        Pollution
        •        Too expensive
        •        Not enough free time
        •        Too much homework
        •        No nature nearby
        •        Adults don’t support it
        •        I’m not allowed to go alone
        •        Nothing fun to do 
        •        no one to play with
        •        I’d rather play online 
        •        No way to get there
        •        Other: ____________

",Indirectly supports the hypothesis — understanding blockers can explain gaps in connection/engagement outcomes.,"Uncovers structural, social, or personal barriers to nature access or engagement.","Thematic coding of barriers; used to inform improvement loops, equitable access design, and advocacy messaging.",
Nature Relationship (BeNature),"Please indicate if you agree or disagree with each statement below.
(Options: Disagree / Neutral / Agree)","        •        I feel comfortable in nature.
        •        I am curious about how nature works.
        •        I can interact with nature confidently. 
        •        I can tell if the surrounding nature is healthy. 
        •        I have a strong attachment to natural places.
        •        My experiences in nature help shape my identity.
        •        I feel upset when the surrounding nature is unhealthy. 
        •        I actively take care of nature.
        •        I take a leadership role in caring for nature. 
        •        I feel responsible for protecting nature for future generations.
        •        I have a deep sense of unity with nature.
        •        I don’t easily feel bored in nature. I feel bored in nature",Aligns with ‘comfort in nature’ as a proxy for connection and wellbeing. Supports internal shift measurement.,Gauges self-reported comfort in various natural conditions — part of psychological ease and resilience.,"shifts over time, comparisons by region/program. Useful in demonstrating climate confidence and nature readiness.",
Nature Identity,"

How much does your connection with nature help you think about what's important or make decisions? ","        •        💚 = Very little
        •        💚💚 = A little
        •        💚💚💚 = A moderate amount
        •        💚💚💚💚 = Quite a bit
        •        💚💚💚💚💚 = A great deal","Explores how nature shapes personal values and decision-making, reflecting internal shift in identity.",Reveals depth of nature’s integration into youth worldview and agency., narrative evidence for purpose-driven learning or curriculum design.,
Personal Development,"“Please indicate if you agree or disagree with each statement below.""
Disagree
Neutral
Agree","
        •        I try new things, even if they’re hard.
        •        I like learning about the world. 
        •        I solve problems on my own. 
        •        I share my ideas when working with others. 
        •        I can explain what I think and feel. 
        •        I can calm down when I feel upset. 
        •        I understand how others feel and try to help. 
        •        I keep going, even when things are tough. 
        •        I enjoy talking and listening to others. 
        •        I try to do what’s right.
        •        I help nature because it's part of who I am. ",Indirectly supports changemaking orientation — those who enjoy sharing ideas may be more inclined to act.,Captures peer interaction and potential for ripple effect among youth in environmental communities.,"May help identify diffusion potential, storytelling arcs of collective changemaking.",
